Start Timestamp,Elapsed Time (s),Rounds Played,Score,Total Reward,Loss,Steps,BOILING,BOMB_DROPPED,BOMB_EXPLODED,COIN_COLLECTED,COIN_FOUND,COOL,CRATE_COMBO,CRATE_DESTROYED,FRESHENED_UP,GOT_KILLED,HOT,INVALID_ACTION,KILLED_OPPONENT,KILLED_SELF,MOVED_DOWN,MOVED_LEFT,MOVED_RIGHT,MOVED_UP,OPPONENT_ELIMINATED,SURVIVED_ROUND,USELESS_BOMB,WAITED,WARM,UP,RIGHT,DOWN,LEFT,WAIT,BOMB
2024-09-18 16:33:05,18.633988857269287,10,0,-78.35999999999979,9.563682982203318,374,1,10,10,0,14,0,0,29,0,10,1,65,0,10,16,62,64,13,0,0,0,144,10,37,75,33,73,144,12
2024-09-18 16:33:05,19.349870204925537,10,0,-81.20000000000002,16.903926932543982,641,2,14,14,1,16,0,0,37,4,10,3,131,0,10,81,63,62,86,0,0,4,204,14,104,131,102,77,204,23
2024-09-18 16:33:05,19.71004009246826,10,0,-75.86000000000003,8.587676258030115,323,0,11,11,0,15,0,0,29,1,10,1,63,0,10,21,47,47,20,0,0,0,114,11,47,58,32,56,114,16
2024-09-18 16:33:05,20.571794033050537,10,0,-87.55999999999945,22.104941967583727,785,3,17,17,1,17,0,0,41,7,10,6,229,0,10,101,75,76,108,0,0,4,179,17,162,161,137,115,179,31
2024-09-18 16:33:05,21.307299852371216,10,0,-86.27999999999926,18.084608517587185,668,0,15,15,2,9,0,0,37,6,10,1,162,0,10,100,55,56,97,0,0,2,183,15,128,107,122,105,183,23
2024-09-18 16:33:05,21.751042127609253,10,0,-79.89999999999966,11.023650946270209,397,1,12,12,0,11,0,0,31,3,10,2,85,0,10,44,64,64,48,0,0,0,80,12,56,78,99,67,80,17
2024-09-18 16:33:05,22.47299599647522,10,0,-105.4799999999997,19.409935899835546,678,2,12,12,1,9,0,0,30,3,10,2,296,0,10,55,32,33,51,0,0,0,199,12,273,48,92,48,199,18
2024-09-18 16:33:05,23.073656797409058,10,1,-80.37999999999997,15.179694343358278,517,1,13,13,2,15,0,0,34,4,10,1,147,0,10,39,30,32,34,0,0,1,222,13,98,65,74,40,222,18
2024-09-18 16:33:05,23.746400117874146,10,0,-82.56000000000056,16.788000676082447,591,2,16,16,2,17,0,0,37,6,10,5,183,0,10,62,25,26,53,0,0,4,226,16,88,72,74,103,226,28
2024-09-18 16:33:05,24.008939027786255,10,0,-65.93999999999973,6.924346666201018,220,1,12,12,2,15,0,0,30,3,10,1,47,0,10,61,9,11,54,0,0,0,26,12,57,21,67,31,26,18
2024-09-18 16:33:05,24.742006063461304,10,0,-86.95999999999972,20.85331351100467,653,0,13,13,0,5,0,0,35,6,10,0,94,0,10,102,115,117,95,0,0,0,117,13,114,131,139,132,117,20
2024-09-18 16:33:05,25.31713604927063,10,0,-77.43999999999906,13.126383483759128,454,2,11,11,0,15,0,0,30,1,10,3,61,0,10,103,46,47,106,0,0,1,80,11,113,50,115,68,80,28
2024-09-18 16:33:05,26.2330961227417,10,3,-93.71999999999909,25.751282612094656,821,3,14,14,3,12,0,0,42,7,10,4,320,0,10,33,86,88,31,0,0,1,249,14,49,175,165,157,249,26
2024-09-18 16:33:05,26.58453106880188,10,0,-63.079999999999956,9.343435822345782,298,2,13,13,1,19,0,0,34,4,10,2,45,0,10,20,74,73,19,0,0,0,54,13,34,83,29,77,54,21
2024-09-18 16:33:05,27.464545011520386,10,0,-99.01999999999971,25.057885510264896,798,2,11,11,0,11,0,0,29,5,10,3,175,0,10,127,84,86,126,0,0,0,189,11,138,139,198,113,189,21
2024-09-18 16:33:05,28.415882110595703,10,0,-93.780000000001,26.963092957565095,824,0,13,13,2,14,0,0,32,3,10,3,191,0,10,117,50,53,121,0,0,0,279,13,181,144,127,65,279,28
2024-09-18 16:33:05,29.400851011276245,10,0,-72.35999999999963,29.62057910527801,889,3,15,15,4,21,0,0,45,6,10,4,213,0,10,237,17,17,238,0,0,0,152,15,309,77,286,36,152,29
