Start Timestamp,Elapsed Time (s),Rounds Played,Score,Total Reward,BOILING,BOMB_DROPPED,BOMB_EXPLODED,COIN_COLLECTED,COIN_FOUND,COOL,CRATE_DESTROYED,FRESHENED_UP,GOT_KILLED,HOT,INVALID_ACTION,KILLED_OPPONENT,KILLED_SELF,MOVED_DOWN,MOVED_LEFT,MOVED_RIGHT,MOVED_UP,OPPONENT_ELIMINATED,SURVIVED_ROUND,WAITED,WARM,UP,DOWN,LEFT,RIGHT,WAIT,BOMB
2024-09-18 20:52:15,18.378464937210083,10,5,67.00000000000024,0,17,17,76,0,0,0,0,10,0,49,0,10,95,45,53,122,0,0,19,0,128,66,98,50,17,31
2024-09-18 20:52:15,19.26892900466919,10,14,64.09999999999997,0,14,14,73,0,0,0,0,10,0,54,0,10,76,61,74,99,0,0,8,0,120,87,76,65,8,20
2024-09-18 20:52:15,20.037516832351685,10,5,62.87000000000004,0,19,19,73,0,0,0,0,10,0,66,0,10,56,57,54,91,0,0,19,0,107,68,59,69,18,31
2024-09-18 20:52:15,20.664013862609863,10,3,58.45000000000015,0,16,16,65,0,0,0,0,10,0,41,0,10,46,48,49,47,0,0,11,0,52,54,50,55,10,27
2024-09-18 20:52:15,21.41545867919922,10,13,84.84999999999967,0,16,16,94,0,0,0,0,10,0,49,0,10,97,38,70,90,0,0,26,0,98,82,101,43,24,28
2024-09-18 20:52:15,22.19163179397583,10,4,91.9599999999997,0,13,13,100,0,0,0,0,10,0,41,0,10,69,46,65,119,0,0,19,0,128,75,70,50,19,20
2024-09-18 20:52:15,23.053151845932007,10,16,76.27999999999993,0,12,12,85,0,0,0,0,10,0,47,0,10,72,52,96,112,0,0,14,0,123,103,79,55,14,21
2024-09-18 20:52:15,23.93419909477234,10,2,90.35999999999964,0,22,22,106,0,0,0,0,10,0,102,0,10,105,76,108,120,0,0,27,0,157,125,121,86,26,35
2024-09-18 20:52:15,24.610241651535034,10,14,62.2400000000001,0,11,11,70,0,0,0,0,10,0,52,0,10,33,36,47,75,0,0,13,0,87,55,39,43,12,21
2024-09-18 20:52:15,25.463684797286987,10,6,96.47999999999973,0,14,14,107,0,0,0,0,10,0,60,0,10,63,100,96,138,0,0,11,0,153,110,74,104,11,20
2024-09-18 20:52:15,26.1925208568573,10,3,64.18000000000013,0,14,14,72,0,0,0,0,10,0,48,0,10,43,55,48,86,0,0,14,0,90,56,47,65,14,26
2024-09-18 20:52:15,27.28940176963806,10,13,91.37999999999916,0,15,15,110,0,0,0,0,10,0,102,0,10,159,163,185,195,0,0,28,0,233,212,171,167,27,27
2024-09-18 20:52:15,28.10969877243042,10,8,83.99999999999999,0,14,14,96,0,0,0,0,10,0,78,0,10,106,52,75,122,0,0,13,0,141,94,117,61,13,24
2024-09-18 20:52:15,29.028985738754272,10,0,89.14999999999945,0,15,15,101,0,0,0,0,10,0,67,0,10,83,89,137,126,0,0,16,0,143,156,93,92,16,23
2024-09-18 20:52:15,29.865344047546387,10,2,59.09000000000021,0,15,15,69,0,0,0,0,10,0,62,0,10,70,44,87,90,0,0,16,0,109,95,76,51,16,27
2024-09-18 20:52:15,30.788769006729126,10,18,102.7199999999992,0,23,23,117,0,0,0,0,10,0,83,0,10,137,74,111,156,0,0,24,0,178,131,150,77,24,38
2024-09-18 20:52:15,31.796759843826294,10,11,97.59999999999961,0,19,19,113,0,0,0,0,10,0,88,0,10,174,105,114,167,0,0,20,0,196,139,181,112,20,29
2024-09-18 20:52:15,32.780109882354736,10,19,94.85999999999979,0,19,19,106,0,0,0,0,10,0,60,0,10,84,81,127,122,0,0,20,0,142,132,89,88,20,32
2024-09-18 20:52:15,33.5547399520874,10,12,58.20000000000011,0,12,12,66,0,0,0,0,10,0,39,0,10,94,61,46,124,0,0,13,0,131,52,101,67,13,15
2024-09-18 20:52:15,34.49506998062134,10,13,95.49999999999957,0,14,14,107,0,0,0,0,10,0,66,0,10,69,106,123,117,0,0,15,0,129,143,83,109,14,22
2024-09-18 20:52:15,35.377516746520996,10,2,74.2399999999998,0,12,12,84,0,0,0,0,10,0,52,0,10,108,65,89,109,0,0,17,0,118,106,112,73,16,17
2024-09-18 20:52:15,36.44128489494324,10,8,67.81000000000031,0,18,18,79,0,0,0,0,10,0,59,0,10,105,108,119,102,0,0,19,0,120,129,113,114,17,27
2024-09-18 20:52:15,37.28884792327881,10,3,50.140000000000185,0,11,11,57,0,0,0,0,10,0,35,0,10,93,44,51,108,0,0,8,0,112,55,98,51,8,16
2024-09-18 20:52:15,38.187994718551636,10,8,81.7599999999998,0,15,15,91,0,0,0,0,10,0,48,0,10,87,58,102,112,0,0,17,0,120,113,92,65,16,23
2024-09-18 20:52:15,38.976584911346436,10,3,40.86999999999988,0,11,11,47,0,0,0,0,10,0,37,0,10,60,23,31,84,0,0,9,0,85,42,64,28,9,17
2024-09-18 20:52:15,39.89750289916992,10,12,69.71000000000011,0,13,13,80,0,0,0,0,10,0,52,0,10,106,116,120,87,0,0,16,0,101,130,111,121,15,22
2024-09-18 20:52:15,40.778873682022095,10,19,99.74999999999952,0,13,13,109,0,0,0,0,10,0,49,0,10,108,52,78,127,0,0,14,0,134,90,112,60,14,21
2024-09-18 20:52:15,41.66680383682251,10,6,87.8999999999997,0,12,12,98,0,0,0,0,10,0,59,0,10,111,69,64,121,0,0,11,0,130,84,115,81,10,17
2024-09-18 20:52:15,42.71888589859009,10,2,64.11000000000045,0,10,10,76,0,0,0,0,10,0,65,0,10,83,141,118,132,0,0,13,0,149,130,98,147,13,15
2024-09-18 20:52:15,43.76822090148926,10,6,79.91999999999963,0,21,21,92,0,0,0,0,10,0,62,0,10,102,119,126,136,0,0,21,0,148,142,108,126,20,33
2024-09-18 20:52:15,44.79614186286926,10,11,94.05999999999845,0,13,13,106,0,0,0,0,10,0,55,0,10,157,85,110,192,0,0,20,0,208,116,162,98,18,20
2024-09-18 20:52:15,45.802273988723755,10,10,105.60999999999979,0,16,16,118,0,0,0,0,10,0,70,0,10,108,99,141,116,0,0,15,0,145,148,117,107,15,23
2024-09-18 20:52:15,46.813819885253906,10,17,66.08000000000024,0,14,14,76,0,0,0,0,10,0,47,0,10,134,80,99,134,0,0,15,0,149,102,137,90,15,20
2024-09-18 20:52:15,47.9497857093811,10,6,79.80999999999918,0,19,19,95,0,0,0,0,10,0,82,0,10,162,109,128,185,0,0,23,0,207,151,171,116,22,31
