Start Timestamp,Elapsed Time (s),Rounds Played,Score,Total Reward,Loss,BOILING,BOMB_DROPPED,BOMB_EXPLODED,COIN_COLLECTED,COIN_FOUND,COOL,CRATE_DESTROYED,FRESHENED_UP,GOT_KILLED,HOT,INVALID_ACTION,KILLED_OPPONENT,KILLED_SELF,MOVED_DOWN,MOVED_LEFT,MOVED_RIGHT,MOVED_UP,OPPONENT_ELIMINATED,SURVIVED_ROUND,USELESS_BOMB,WAITED,WARM,UP,RIGHT,DOWN,LEFT,WAIT,BOMB
2024-09-18 11:46:10,48.00730299949646,10,49,800.5200000000166,177.33968636393547,0,16,16,411,0,0,0,14,4,1,39,0,4,276,262,292,306,0,6,0,24,16,315,303,287,269,24,17
2024-09-18 11:46:10,51.43047094345093,10,49,950.2600000000195,200.95618741959333,1,25,25,480,0,0,0,25,3,1,60,0,3,335,307,306,354,0,7,0,25,25,359,321,355,321,25,31
2024-09-18 11:46:10,53.5741651058197,10,0,723.0000000000144,142.73953868448734,0,19,19,380,0,0,0,16,5,2,48,0,5,261,223,234,248,0,5,0,12,19,257,240,268,245,12,23
2024-09-18 11:46:10,56.07613492012024,10,49,864.6000000000191,185.3833042420447,0,16,16,444,0,0,0,16,4,0,41,0,4,308,293,300,334,0,6,0,25,16,343,311,316,305,25,17
2024-09-18 11:46:10,58.54344391822815,10,36,862.1400000000198,181.6417771577835,0,18,18,443,0,0,0,19,4,1,44,0,4,329,302,271,329,0,6,0,26,18,336,283,343,310,26,21
2024-09-18 11:46:10,60.498818159103394,10,34,683.5800000000145,146.4418203085661,0,20,20,360,0,0,0,19,5,2,36,0,5,281,252,228,239,0,5,0,13,20,244,242,288,259,13,23
2024-09-18 11:46:10,62.5293231010437,10,49,825.6600000000162,152.72939920052886,0,12,12,422,0,0,0,10,4,2,28,0,4,281,246,265,263,0,6,0,21,12,269,271,290,251,21,14
2024-09-18 11:46:10,64.52418804168701,10,49,749.8600000000166,165.5028723925352,0,25,25,404,0,0,0,24,6,4,35,0,6,298,263,282,271,0,4,0,34,25,279,292,304,270,34,29
2024-09-18 11:46:10,66.43982696533203,10,49,802.3200000000164,167.4820864163339,0,24,24,430,0,0,0,24,6,0,39,0,6,282,291,267,271,0,4,0,29,24,276,282,289,298,29,29
2024-09-18 11:46:10,68.38455104827881,10,34,838.4200000000155,165.64582810923457,0,22,22,439,0,0,0,22,5,1,35,0,5,279,286,269,309,0,5,0,23,22,313,278,293,293,23,23
2024-09-18 11:46:10,70.26207184791565,10,33,747.8800000000156,158.7872863225639,0,24,24,402,0,0,0,22,6,1,30,0,6,281,249,256,285,0,4,0,25,24,295,261,286,255,25,28
2024-09-18 11:46:10,71.84550499916077,10,30,672.3600000000118,130.5653558894992,0,15,15,362,0,0,0,13,6,1,34,0,6,211,207,265,215,0,4,0,12,15,219,271,218,217,12,22
2024-09-18 11:46:10,74.04965090751648,10,36,832.9000000000174,164.98155374825,0,19,19,436,0,0,0,18,5,1,28,0,5,317,277,274,294,0,5,0,24,19,300,283,323,279,24,24
2024-09-18 11:46:10,76.56638598442078,10,45,923.1200000000199,190.4633039534092,1,20,20,474,0,0,0,20,4,2,37,0,4,329,295,319,337,0,6,0,32,20,342,328,340,304,32,23
2024-09-18 11:46:10,77.80460286140442,10,6,431.80000000000666,99.5714884325862,0,17,17,257,0,0,0,16,8,3,23,0,8,166,151,161,184,0,2,0,14,17,191,167,170,154,14,20
2024-09-18 11:46:10,79.61190986633301,10,33,767.1800000000155,153.2509632743895,0,18,18,420,0,0,0,18,7,2,26,0,7,301,225,263,282,0,3,0,20,18,290,267,312,227,20,19
2024-09-18 11:46:10,81.01003980636597,10,49,567.6000000000098,117.99158424511552,0,18,18,318,0,0,0,19,7,4,35,0,7,184,217,185,212,0,3,0,21,18,221,193,188,223,21,26
2024-09-18 11:46:10,83.20808792114258,10,49,997.6400000000203,196.16082632541656,0,23,23,502,0,0,0,22,3,1,28,0,3,354,305,302,338,0,7,0,27,23,343,308,362,311,27,26
2024-09-18 11:46:10,84.93826580047607,10,22,735.1600000000144,144.0730033889413,0,13,13,376,0,0,0,14,4,0,36,0,4,249,248,221,250,0,6,0,17,13,254,225,253,267,17,18
2024-09-18 11:46:10,86.63698387145996,10,49,701.4600000000139,144.55294596776366,0,13,13,368,0,0,0,12,5,0,27,0,5,284,236,239,227,0,5,0,18,13,232,244,291,244,18,15
2024-09-18 11:46:10,88.92134308815002,10,49,970.0600000000211,204.44690945744514,0,23,23,480,0,0,0,23,2,2,36,0,2,339,330,318,347,0,8,0,29,23,353,329,344,339,29,28
2024-09-18 11:46:10,90.5574700832367,10,44,680.9400000000131,141.3960696682334,0,21,21,367,0,0,0,20,6,3,24,0,6,279,211,215,247,0,4,0,28,21,250,224,282,217,28,24
2024-09-18 11:46:10,92.36339211463928,10,46,737.8400000000158,154.86518766731024,0,21,21,388,0,0,0,20,5,2,36,0,5,271,272,279,224,0,5,0,31,21,230,288,280,278,31,27
2024-09-18 11:46:10,94.50932097434998,10,49,1010.60000000002,199.4068106301129,0,17,17,499,0,0,0,18,2,0,33,0,2,350,301,324,302,0,8,0,24,17,308,331,356,314,24,18
2024-09-18 11:46:10,96.60952401161194,10,19,862.200000000018,185.70533550530672,1,19,19,443,0,0,0,18,4,4,48,0,4,319,268,301,299,0,6,0,19,19,305,308,329,288,19,24
2024-09-18 11:46:10,98.17864608764648,10,46,628.7000000000121,137.16542380675673,0,19,19,341,0,0,0,17,6,2,40,0,6,237,192,238,247,0,4,0,18,19,257,244,249,198,18,25
2024-09-18 11:46:10,100.10210680961609,10,49,883.3400000000165,166.84319783747196,0,19,19,452,0,0,0,18,4,1,27,0,4,288,302,306,255,0,6,0,21,19,262,312,295,306,21,22
2024-09-18 11:46:10,102.29453492164612,10,49,966.620000000019,180.33337038755417,0,21,21,478,0,0,0,20,2,1,45,0,2,355,303,320,293,0,8,0,29,21,307,329,370,309,29,22
2024-09-18 11:46:10,104.21905994415283,10,1,833.0200000000159,155.17956475913525,0,20,20,427,0,0,0,19,4,2,37,0,4,297,220,280,312,0,6,0,20,20,321,286,306,231,20,22
